CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
831526991,03/31/2018,23:30:00,03/31/2018,23:37:00,03/31/2018,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,67,,STREET,,,1003227,177460,40.653751263,-73.931609227,"(40.653751263, -73.931609227)"
496736340,03/31/2018,23:20:00,03/31/2018,23:30:00,03/31/2018,104,RAPE,155,RAPE 2,COMPLETED,FELONY,N.Y. HOUSING POLICE,STATEN ISLAND,120,INSIDE,RESIDENCE - PUBLIC HOUSING,,RICHMOND TERRACE,962748,174174,40.644726131,-74.077483159,"(40.644726131, -74.077483159)"
399593692,03/31/2018,23:15:00,03/31/2018,23:20:00,03/31/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,105,INSIDE,RESIDENCE-HOUSE,,,1056932,200034,40.715433534,-73.737816163,"(40.715433534, -73.737816163)"
282376455,03/31/2018,23:10:00,03/31/2018,23:20:00,03/31/2018,105,ROBBERY,383,"ROBBERY,DELIVERY PERSON",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,110,INSIDE,RESIDENCE - APT. HOUSE,,,1014990,210503,40.744413503,-73.889065158,"(40.744413503, -73.889065158)"
201598299,03/31/2018,23:10:00,03/31/2018,23:19:00,03/31/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,BROOKLYN,78,INSIDE,RESIDENCE - PUBLIC HOUSING,,572 WARREN STREET,989141,187733,40.681967344,-73.982367054,"(40.681967344, -73.982367054)"
513742569,03/31/2018,22:58:00,03/31/2018,23:57:00,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,88,INSIDE,RESTAURANT/DINER,,,992474,191812,40.693160797,-73.97034502,"(40.693160797, -73.97034502)"
697659685,03/31/2018,22:55:00,,,03/31/2018,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,52,,STREET,,,1017478,256069,40.869470477,-73.879860804,"(40.869470477, -73.879860804)"
865326510,03/31/2018,22:53:00,03/31/2018,22:58:00,03/31/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,,STREET,,,1043376,197253,40.707901351,-73.786740837,"(40.707901351, -73.786740837)"
422569603,03/31/2018,22:50:00,03/31/2018,23:00:00,03/31/2018,113,FORGERY,725,"FORGERY,M.V. REGISTRATION",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120,,STREET,,,962154,166846,40.62461087,-74.079599621,"(40.62461087, -74.079599621)"
510371754,03/31/2018,22:50:00,03/31/2018,23:00:00,03/31/2018,121,CRIMINAL MISCHIEF & RELATED OF,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,42,INSIDE,RESIDENCE - PUBLIC HOUSING,,WEBSTER,1009394,242828,40.833154599,-73.909139311,"(40.833154599, -73.909139311)"
